"spelling.errors","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"taech","teach","tech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"disobidenent","disobedient","dissident",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"activityobject","activity object","activity-object","objectivity","subjectivity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"negatiive","negative","negativity","negativism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kow","chow","wok","low","kw","ow","know","sow","now","row","tow","cow","mow","pow","how","bow"
"policemenwomen","policemen women","policemen-women","policewomen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nessecary","necessary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"withdrawls","withdraws","withdrawals","with drawls","with-drawls","withdraw ls","withdraw-ls","withdrawal","withdraw",NA,NA,NA,NA,NA,NA,NA
"descipline","discipline","discipleship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"expresion","expression","repression","oppression","depression","impression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nurple","purple","plenum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"burgandy","burgundy","organdy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kstate","state","estate","k state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barnie","barbie","sarnie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beiber","briber","beriberi","imbiber","ribber","fiber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"legitmate","legitimate","legit mate","legit-mate","legislate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"valote","valuate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"portemonnaie","proportionate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"notecase","note case","note-case","nutcase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cary","cray","racy","Cary","vary","cart","car","cay","cry","scary","carny","carry","chary","care","cars","nary"
"vallet","ballet","valley","valet","varlet","mallet","pallet","wallet","val let","val-let","vale",NA,NA,NA,NA,NA
"exherting","exerting","exhorting","exhibiting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pushful","bashful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"selfassertive","self assertive","self-assertive","assertiveness","unassertive","assertive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"satifies","satisfies","ratifies","sanctifies","satisfied","satiates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dectective","detective","defective","directive","deceptive","deductive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"comsuming","consuming","commingling","upcoming","coming","summing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bce","be","bee","ice","ace","bye","Ice","BC",NA,NA,NA,NA,NA,NA,NA,NA
"egpyt","eggplant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tal","lat","ta","tale","teal","tali","tail","ital","tall","talc","talk","Ital","alt","tel","til","tan"
"egtyptians","reptilians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fidgure","figure","figured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plinko","pinko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"egyt","elegy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"onomatopeoia","onomatopoeia","onomatopoeic","onomatopoetic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pato","pat","patio","panto","atop","pate","pats","path","Cato","pa to","pa-to","pat o",NA,NA,NA,NA
"cuac","cu ac","cu-ac","curacy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"persion","person","pension","version","aspersion","persuasion","persimmon","dispersion",NA,NA,NA,NA,NA,NA,NA,NA
"quackis","quacks","quack's","quack is","quack-is","quack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wellmade","well made","well-made","wellhead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soldbought","sold bought","sold-bought","besought",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"warter","quarter","water","wartier","waster","warier","waiter","tarter","carter","warder","darter","garter","warmer","barter","Carter",NA
"fouth","fourth","south","forth","mouth","youth","South",NA,NA,NA,NA,NA,NA,NA,NA,NA
"raquet","parquet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"baketball","basketball","netball","ballet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"liquad","liquid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quantatity","quantitation","quantity","quantitative","quantify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quatts","watts","quarts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tpye","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litre","liter","lite","lire","lithe","lit re","lit-re",NA,NA,NA,NA,NA,NA,NA,NA,NA
"messument","assessment","tumescent","enmeshment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oneforth","one forth","one-forth","henceforth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"onefourth","one fourth","one-fourth","fourteenth","fourth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twentyfive","twenty five","twenty-five","twenty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"queeen","queen","McQueen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"assiciated","associated","assassinated","dissociated","associate","assisted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"monarc","monarch","mo narc","mo-narc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rani","ranee","rain","ran","rant","rand","rang","bani","rank","Mani",NA,NA,NA,NA,NA,NA
"emperoress","emperors","emperor","empress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sovreign","sovereign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"monarcy","monarchy","monarch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trown","trow","tron","town","thrown","trows","crown","drown","grown","brown","frown","Brown","tr own","tr-own","trow n",NA
"thirstrelief","thirst relief","thirst-relief","thirstiness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rehydrate","dehydrate","re hydrate","re-hydrate","hydrate","dehydrator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"interogate","interrogate","interrogator","interrogative","interrogation","interstate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muliple","multiple","multiplier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"enquiry","inquiry","enquirer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yesno","yes no","yes-no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pesion","pension","lesion","session",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"enquiries","inquiries","enquirers","enquirer","esquires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"querries","queries","equerries","quarries","derrieres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"douth","south","doth","dough","mouth","youth","South","outdo",NA,NA,NA,NA,NA,NA,NA,NA
"ather","either","anther","rather","lather","gather","bather","father","Rather","Cather","Mather","Father","hater","ether","other",NA
"athelet","athlete","lathe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"movenment","movement","government","enlivenment","moment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"peaeful","peaceful","plateful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wisper","wiser","wiper","wispier","whisper","wipers","lisper","wisher","wisp er","wisp-er",NA,NA,NA,NA,NA,NA
"ssshhh","ssh","shh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shhhh","shh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"qiet","quiet","diet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"resereved","reserved","persevered","revered","reverenced","preserver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"porkypine","porky pine","porky-pine","porcupine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bine","vine","nine","bone","bin","brine","binge","bins","sine","bane","bite","tine","bile","line","cine","bind"
"minitest","mintiest","minutest","mini test","mini-test","minister","mistiness","steaminess",NA,NA,NA,NA,NA,NA,NA,NA
"degreeamount","degree amount","degree-amount","desegregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"qualitycharacteristic","quality characteristic","quality-characteristic","characteristically",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hassidic","chassis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vin","bin","vim","vi","in","vine","vein","vain","vino","vie","sin","vii","via","van","tin","din"
"runnerup","runner up","runner-up","runner","pruner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"descrimination","discrimination","decriminalization","recrimination","incrimination","discriminating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caucasion","occasion","causation","caution","scansion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"computition","competition","computation","compunction","composition","computing","compilation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"buring","bring","burning","burring","burping","burying","busing","baring","boring","luring","curing","during","buying","Turing","bu ring","bu-ring"
"runningphysical","running physical","running-physical","nonphysical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dunham","dun ham","dun-ham","unhandy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bubba","bubbly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"skincolor","skin color","skin-color","coloring's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heritageskin","heritage skin","heritage-skin","heritages kin","heritages-kin","inheritances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"colorculture","color culture","color-culture","counterculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"discriminative","discriminating","discrimination","discriminate","discriminator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"activityevent","activity event","activity-event","interactivity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compitition","competition","composition","compilation","computation","compunction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"competiton","competition","competitor","competitive","completion","noncompeting","compensation",NA,NA,NA,NA,NA,NA,NA,NA,NA
"gat","tag","fat","hat","gar","gay","gt","at","gate","gait","gnat","goat","ghat","get","eat","gas"
"djs","dis","dos","dds","DJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fmam","mam","imam","foam","f mam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"differemt","different","difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advertisment","advertisement","advertiser","advertising","advertised","advertise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"talkshows","talk shows","talk-shows","talks hows","talks-hows","shoptalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rainboots","rain boots","rain-boots","rainbows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waether","weather","whether","ether",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nourashing","nourishing","thrashing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beofre","before",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unpleassant","unpleasant","pleasantness","pleasanter","pleasant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drawnpainted","drawn painted","drawn-painted","interpenetrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dihydrogen","hydrogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"firequenching","fire quenching","fire-quenching","infrequence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reseviors","revisers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rainclouds","rain clouds","rain-clouds","trainloads",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lightining","lightning","lightening","lighting","nightingale","nightlight","sighting","fighting",NA,NA,NA,NA,NA,NA,NA,NA
"uncastrated","castrated","unconsecrated","unsaturated","truncated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spokenword","spoken word","spoken-word","spokeswomen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rapmeaning","rap meaning","rap-meaning","meaning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonconsensual","non consensual","non-consensual","consensual","nonsensical","nonseasonal","nonsexual",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ine","one","in","sine","nine","tine","line","cine","dine","mine","pine","fine","vine","kine","wine","zine"
"unfrequently","infrequently","unfrequented","frequently","infrequent","frequenter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unnusual","unusual","annual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mindgame","mind game","mind-game","endgame","gamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pancakestyle","pancake style","pancake-style","pantyliner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"readycooked","ready cooked","ready-cooked","precooked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waferlike","wafer like","wafer-like","warlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lyonnaise","mayonnaise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bareass","bare ass","bare-ass","subareas","bareness","subarea","bares",NA,NA,NA,NA,NA,NA,NA,NA,NA
"bareassed","embarrassed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"raws","wars","raw","craws","draws","raw's","saws","rats","rows","laws","caws","rads","rags","rams","maws","raps"
"proccessed","processed","processioned","processor","progressed","professed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shope","shop","shoe","hope","shoppe","hopes","shops","shape","shone","shore","slope","scope","shove","s hope","sh ope","sh-ope"
"amnner","manner","banner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"refinded","refunded","refined","reminded","redefined","redefine","defined","cindered",NA,NA,NA,NA,NA,NA,NA,NA
"uncookeduntamedin","uncomprehending",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pulsecode","pulse code","pulse-code","pulse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rawraw","raw raw","raw-raw","raw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sunlights","sunlight","sunlight's","sun lights","sun-lights","sunlight s","nightlights","slights",NA,NA,NA,NA,NA,NA,NA,NA
"ub","bu","u","b","sub","nub","rub","tub","cub","dub","pub","hub","bub","us","ab","tb"
"emmitts","em mitts","em-mitts","emits","mitts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ultraviolent","ultraviolet","ultra violent","ultra-violent","ultrasensitive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stimulis","stimulus","stimuli","stimuli s","stimulates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paernets","pasterns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sublte","subtle","sublet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"knowledged","knowledge","knowledge d","acknowledgment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cmpleted","completed","complected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"foreard","forward","forearm","forebear","foreword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"artifical","artificial","artificer","artifice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unfake","unmake","unshaken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"facto","fact","factor","facts","fact o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"etable","table","eatable","stable","enable","e table","able",NA,NA,NA,NA,NA,NA,NA,NA,NA
"expressable","expressible","express able","express-able","processable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tru","try","tr","true","trug","thru","rut","tau","tr u",NA,NA,NA,NA,NA,NA,NA
"xisting","existing","listing","misting","xi sting","xi-sting","xis ting","xis-ting","insisting","stinging","sting",NA,NA,NA,NA,NA
"believeability","believe ability","believe-ability","inevitability","venerability","reliability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yourelf","yourself","your elf","your-elf","yourselves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"namebrand","name brand","name-brand","firebrand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unimaginary","unimaginably","imaginary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anytings","anythings","any tings","any-tings","anything",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somtheing","something","sortieing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"insde","snide","inside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unordanary","ordinary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brunnets","brunets","brunettes","brunette","brunet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tangiable","tangible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fkae","fake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ginuine","genuine","engine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reapan","reap an","reap-an","reap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flipside","flip side","flip-side","lopsided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"postern","poster","posters","pastern","poster n","paternoster","stern",NA,NA,NA,NA,NA,NA,NA,NA,NA
"retral","retrial","retrace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"addtional","additional","traditional","addition","national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordinar","ordinary","ordinal","or dinar","or-dinar","ordinarily","ordinate","dinar","ordain",NA,NA,NA,NA,NA,NA,NA
"afforable","affordable","favorable","affable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"desicion","decision","desiccation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unextraordinary","extraordinary","extraordinarily","extraordinaire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acceptive","deceptive","receptive","perceptive","accept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aeverage","average","leverage","beverage","overage","ravager",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"antiestablishment","anti establishment","anti-establishment","establishments","establishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"insurrectionary","insurrectionist","insurrection","resurrection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akkadian","radian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"modus","mods","modes","mod's","mod us","mod-us","modulus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"operandi","operand","operands","operand i","operation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recipeis","recipes","recipe's","recipe is","recipe-is","recipe","precises","precise","precis",NA,NA,NA,NA,NA,NA,NA
"recipesfood","recipes food","recipes-food","reciprocated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"devilmaycare","daredevilry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chaircouch","chair couch","chair-couch","chairwoman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lazyboy","lazy boy","lazy-boy","lazybones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"saet","seat","sate","east","sat","set","stet","salt","suet",NA,NA,NA,NA,NA,NA,NA
"seatback","setback","seat back","seat-back","backseat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"qualia","quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"latinbased","lambasted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doread","dread","adored","do read","do-read","toreador","adorer","adore","reread",NA,NA,NA,NA,NA,NA,NA
"disckeep","disc keep","disc-keep","discreet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recordbreaking","record breaking","record-breaking","groundbreaking","backbreaking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yhe","the","ye","he","hey","she","Che","y he",NA,NA,NA,NA,NA,NA,NA,NA
"videoaudio","video audio","video-audio","videodisc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recyclebin","recycle bin","recycle-bin","recycling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"repurpose","repurposed","re purpose","re-purpose","purpose","poseur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bluebins","blue bins","blue-bins","bluebirds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bolshy","bolshie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rubor","rumor","rub or","rub-or","suborn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cherryred","cherry red","cherry-red","cherry","checkered","cheered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"complexio","complexion","complexity","complex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ohaving","having","shaving","o having","craving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"complexionr","complexion","complexions","complexion r","completion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"redcolour","colored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"embarrassement","embarrassment","embarrassed","embarrassing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pillarbox","pillar box","pillar-box","pillbox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seagarden","sea garden","sea-garden","gardener","garden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocan","can","ocean","scan","Scan","o can",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anattraction","an attraction","an-attraction","attraction","contraction","transaction","abstraction",NA,NA,NA,NA,NA,NA,NA,NA,NA
"tripical","tropical","piratical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sealife","sea life","sea-life","sealskin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"diferent","different","difference","referent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"biodome","bio dome","bio-dome","biomedical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"damagedendangered","damaged endangered","damaged-endangered","butterfingered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"everygreen","evergreen","every green","every-green","greenery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"braches","brakes","beaches","braces","breaches","branches","broaches",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ubstructions","obstructions","obstructionist","constructions","instructions","obstruction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ree","ere","tee","re","tree","reel","reed","reef","free","reek","Cree","res","see","nee","rte","roe"
"cylander","cylinder","colander","slanderer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"equall","equal","equally","equals","squall","equal l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nikes","niches","kines","bikes","mikes","nukes","nines","likes","dikes","pikes","hikes","yikes","kikes",NA,NA,NA
"whistel","whistle","whitelist","whist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mirrorimage","mirror image","mirror-image","micromanage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reengergizes","energizes","energizer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"minifridge","mini fridge","mini-fridge","fridge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pershiables","perishables","perishable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obstain","obtain","obtains","abstain","ob stain","ob-stain","stain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"rebelious","rebellious","rebellions","religious","libelous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"godd","gods","god","odd","goad","good","gold","Todd","g odd","go dd","go-dd","god d",NA,NA,NA,NA
"closeminded","close minded","close-minded","closemouthed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"measureable","measurable","measure able","measure-able","measureless","measurably","pleasurable","measure's",NA,NA,NA,NA,NA,NA,NA,NA
"selfdisgust","self disgust","self-disgust","disgusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"selfreproach","self reproach","self-reproach","reproachful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cervid","fervid","cervix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rangifer","rangier","ranger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tarandus","tarantulas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coldweather","cold weather","cold-weather","weathercock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"socialreject","social reject","social-reject","socialite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"girlsboys","girls boys","girls-boys","ballgirls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"effection","affection","effect ion","effect-ion","defection","refection","confection","infection",NA,NA,NA,NA,NA,NA,NA,NA
"grandsongranddaughter","grandson granddaughter","grandson-granddaughter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"boyfirend","boyfriend","bonfire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tios","tips","trios","ties","tins","tits","tics","bios","twos","Rios","ti's","otiose",NA,NA,NA,NA
"hijos","hijabs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"familia","familiar","familial","family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
